fname,lname,bpoint,dpoint,operator,vehnum,fdes,atime
Pravin ,Dora,Koyambedu,Silk_Board,OTT,PY12BG8271,Ashok Nagar,230
Naseer ,Memon,Koyambedu,Silk_Board,OTT,PY12BG8271,Ashok Nagar,230
Aadish ,Dara,Koyambedu,Silk_Board,OTT,PY12BG8271,Ashok Nagar,230
Anees ,Rai,Koyambedu,Silk_Board,OTT,PY12BG8271,Ashok Nagar,230
Karim ,Menon,Koyambedu,Majestic,OTT,PY12BG8271,Arekere,400
Naseer ,Nath,Koyambedu,Majestic,OTT,PY12BG8271,Brigade Road,400
Rashid ,Bora,Koyambedu,Majestic,OTT,PY12BG8271,Bellandur,400
Gayatri,Dalal,Koyambedu,Majestic,OTT,PY12BG8271,Brookefield,400
Naval,Natarajan,Koyambedu,Majestic,OTT,PY12BG8271,Bagalur,400
Leelawati,Pant,Koyambedu,Majestic,OTT,PY12BG8271,Begur,400
Swati ,Lall,Koyambedu,Madiwala,OTT,PY12BG8271,Cottonpete,330
Alka ,Raman,Koyambedu,Madiwala,OTT,PY12BG8271,Tubarahalli,330
Isha ,Nayar,Koyambedu,Madiwala,OTT,PY12BG8271,Bobmanahalli,330
Avantika,Malpani,Koyambedu,Elec_City,OTT,PY12BG8271,Baiyyappanahali,200
Bhanupriya ,Shah,Koyambedu,Elec_City,OTT,PY12BG8271,Devanahalli,200
Chinmay,Kapur,Koyambedu,Elec_City,OTT,PY12BG8271,Ashok Nagar,200
Rakhi ,Bir,Koyambedu,Elec_City,OTT,PY12BG8271,Asha Townshp,200
Obaid,Ahluwalia,Koyambedu,Elec_City,OTT,PY12BG8271,AVS Layout,200
Nutan ,Suresh,Koyambedu,Silk_Board,OTT,PY12BG8271,Arekere,230
Damini ,Doshi,Koyambedu,Silk_Board,OTT,PY12BG8271,Banaswadi,230
Sirish ,Sibal,Koyambedu,Silk_Board,OTT,PY12BG8271,Bagalur,230
Yash ,Sibal,Koyambedu,Silk_Board,OTT,PY12BG8271,Chikkajala,230
Iqbal,Singhal,Koyambedu,Silk_Board,OTT,PY12BG8271,Chickpet,230
Ashish,Cherian,Poonamallee,Madiwala,Evacay,PN436R4545,Bobmanahalli,1130
Nandini ,Sawhney,Poonamallee,Majestic,Evacay,PN436R4545,Baiyyappanahali,1200
Virat ,Badami,Poonamallee,Majestic,Evacay,PN436R4545,Devanahalli,1200
Narmada ,Kannan,Poonamallee,Majestic,Evacay,PN436R4545,Ashok Nagar,1200
Pamela,Sehgal,Poonamallee,Madiwala,Evacay,PN436R4545,Asha Townshp,1130
Sameera ,Srinivasan,Poonamallee,Madiwala,Evacay,PN436R4545,AVS Layout,1130
Priyanka ,Upadhyay,Poonamallee,Madiwala,Evacay,PN436R4545,Baiyyappanahali,1130
Kajol ,Rajagopal,Poonamallee,Madiwala,Evacay,PN436R4545,Devanahalli,1130
Mukti ,Som,Poonamallee,Silk_Board,Evacay,PN436R4545,Chadrapura,1030
Kalpit,Bakshi,Poonamallee,Silk_Board,Evacay,PN436R4545,Devasandra,1030
Neha,Gill,Poonamallee,Silk_Board,Evacay,PN436R4545,Dasrahalli,1030
Kirti ,Kothari,Poonamallee,Silk_Board,Evacay,PN436R4545,Devasandra,1030
Bhaagyasree,Bhasin,Poonamallee,Silk_Board,Evacay,PN436R4545,Fraser Town,1030
Ram ,Gopal,Poonamallee,Silk_Board,Evacay,PN436R4545,Gandhi Nagar,1030
Manjari,Gopal,Poonamallee,Silk_Board,Evacay,PN436R4545,Asha Townshp,1030
Rohit ,Sen,Poonamallee,Elec_City,Evacay,PN436R4545,AVS Layout,1000
Julie ,Rattan,Poonamallee,Elec_City,Evacay,PN436R4545,Baiyyappanahali,1000
Abhinav ,Sahota,Poonamallee,Majestic,Evacay,PN436R4545,Devanahalli,1200
Jatin,Hans,Poonamallee,Madiwala,Evacay,PN436R4545,Chadrapura,1130
Nishi,Sodhani,Poonamallee,Madiwala,Evacay,PN436R4545,Devasandra,1130
Alka,Sodhani,Poonamallee,Madiwala,Evacay,PN436R4545,Dasrahalli,1130
Sona,Khanna,Poonamallee,Majestic,Evacay,PN436R4545,Devasandra,1200
